Distribution,Freq,what,args,,Complete
"N(-5,1)",500,rnorm,"list(mean=-5, sd=1)",,
"N(-5,5)",500,rnorm,"list(mean=-5, sd=5)",,
"N(0,1)",500,rnorm,"list(mean=0, sd=1)",,
"N(0,5)",500,rnorm,"list(mean=0, sd=5)",,
"N(5,1)",500,rnorm,"list(mean=5, sd=1)",,
"N(5,5)",500,rnorm,"list(mean=5, sd=5)",,
Pois(0.5),500,rpois,list(lambda=0.5),,
Pois(1),500,rpois,list(lambda=1L),,
Pois(10),500,rpois,list(lambda=10L),,
Pois(2),500,rpois,list(lambda=2L),,
Pois(3),500,rpois,list(lambda=3L),,
Pois(4),500,rpois,list(lambda=4L),,
Pois(5),500,rpois,list(lambda=5L),,
Pois(7.5),500,rpois,list(lambda=7.5),,
"Unif(0,1)",500,runif,"list(min=0, max=1)",,
"Unif(0,2)",500,runif,"list(min=0, max=2)",,
"Unif(0,3)",500,runif,"list(min=0, max=3)",,
"Unif(0,4)",500,runif,"list(min=0, max=4)",,
"Unif(0,5)",500,runif,"list(min=0, max=5)",,
"Unif(0,6)",500,runif,"list(min=0, max=6)",,
"Unif(0,7)",500,runif,"list(min=0, max=7)",,
"Unif(0,8)",500,runif,"list(min=0, max=8)",,
"Unif(0,9)",500,runif,"list(min=0, max=9)",,
"Unif(-1,1)",500,runif,"list(min=-1,max=1)",,
"Beta(1,2)",500,rbeta,"list(shape1=1, shape2=2)",,
"Beta(2,2)",500,rbeta,"list(shape1=2, shape2=2)",,
"Beta(3,2)",500,rbeta,"list(shape1=3, shape2=2)",,
"Beta(4,2)",500,rbeta,"list(shape1=4, shape2=2)",,
"Beta(5,2)",500,rbeta,"list(shape1=5, shape2=2)",,
"Lognormal(0,1)",500,rlnorm,"list(meanlog=0, sdlog=1)",,
"Lognormal(0,5)",500,rlnorm,"list(meanlog=0, sdlog=5)",,
"Lognormal(5,1)",500,rlnorm,"list(meanlog=5, sdlog=1)",,
"Lognormal(5,5)",500,rlnorm,"list(meanlog=5, sdlog=5)",,
Chi-square,500,rchisq,list(df=1),,
Chi-square,500,rchisq,list(df=2),,
Chi-square,500,rchisq,list(df=3),,
Chi-square,500,rchisq,list(df=4),,
Chi-square,500,rchisq,list(df=1),,
Chi-square,500,rchisq,list(df=5),,
Chi-square,500,rchisq,list(df=6),,
Chi-square,500,rchisq,list(df=7),,
Chi-square,500,rchisq,list(df=8),,
Chi-square,500,rchisq,list(df=9),,
Gamma,500,rgamma,"list(shape=1, scale=2)",,
Gamma,500,rgamma,"list(shape=2, scale=2)",,
Gamma,500,rgamma,"list(shape=3, scale=2)",,
Gamma,500,rgamma,"list(shape=4, scale=2)",,
Gamma,500,rgamma,"list(shape=5, scale=2)",,
Gamma,500,rgamma,"list(shape=6, scale=2)",,
Gamma,500,rgamma,"list(shape=7, scale=2)",,
Gamma,500,rgamma,"list(shape=8, scale=2)",,
Gamma,500,rgamma,"list(shape=9, scale=2)",,
Geometric,500,rgeom,list(prob=0.1),,
Geometric,500,rgeom,list(prob=0.2),,
Geometric,500,rgeom,list(prob=0.3),,
Geometric,500,rgeom,list(prob=0.4),,
Geometric,500,rgeom,list(prob=0.5),,
Geometric,500,rgeom,list(prob=0.6),,
Geometric,500,rgeom,list(prob=0.7),,
Geometric,500,rgeom,list(prob=0.8),,
Geometric,500,rgeom,list(prob=0.9),,
Binomial,500,rbinom,"list(prob=0.1, size=10)",,
Binomial,500,rbinom,"list(prob=0.2, size=10)",,
Binomial,500,rbinom,"list(prob=0.3, size=10)",,
Binomial,500,rbinom,"list(prob=0.4, size=10)",,
Binomial,500,rbinom,"list(prob=0.5, size=10)",,
Binomial,500,rbinom,"list(prob=0.6, size=10)",,
Binomial,500,rbinom,"list(prob=0.7, size=10)",,
Binomial,500,rbinom,"list(prob=0.8, size=10)",,
Binomial,500,rbinom,"list(prob=0.9, size=10)",,
